"מזהה","מספר ספירה","תאריך"
"68779b8df03010fba02c611a","","2025-07-16"
"6877af8b6ef8aaf84a1c0ee1","","2025-07-16T13:56:27.045Z"
"6877c506e039618778ce28c3","","2025-07-16T15:28:06.619Z"
"687c8523048d14d2706f1d98","","2025-07-20T05:56:49.252Z"
"687c88106f4fccf2a3d35e08","","2025-07-20T06:09:19.435Z"
"687c90fc0ac8f32dbfb468c0","","2025-07-20"
"687c924c76ebf96f4ae1afab","","2025-07-20"
"687c98260f7c48fc3bec637a","","2025-07-20"
"6880755095e8dfcc01efebab","","2025-07-23"
"68807607b08279410cd346f0","","2025-07-23"
"688090007b1e47270d8ee1b0","","2025-07-23"
"68f0aea4c27bcf0743295842","","2025-10-16"
"68f0aebc44f46462d03a087d","","2025-10-16"
"68f0b0f710512ba437e25b97","","2025-10-16"
"69021adfced4f7b25e3159d2","FC-I-001","2025-10-29T13:47:08.330Z"
