"מזהה","שם","קוד","טלפון","אימייל","פעיל"
"688205dd1c03ee2651d1382f","GAMIDOR","GAMI","","","לא"
"688205ddd05fa02253e6d785","ALMOG","ALMO","","","כן"
"688205dd3efede3e5f1cf3e7","RANIUM","RANI","","","כן"
"688205dd4585c53ebf815ed6","DYN","DYN","","","כן"
"688205dd09834c58d286271a","ZOTAL","ZOTAL","","","כן"
"688205dd31dd7f098f48a208","BIORAD","BIOR","","","כן"
"688205dd972ef9d22336b529","SARTORIUS","SART","","","כן"
"688205ddcac2b778d3602154","MEDTECHNICA","MEDT","","","כן"
"688205dd483fde90d8edd3ad","OTHER","OTHE","","","כן"
"688205dd2dc9a044f2dad6bd","SIGMA_ALDRICH","SIGM","","","כן"
"688205dd483fde90d8edd3af","MEDIGAL","MEDI","","","כן"
"688205ddd9ecf3227a29b3fd","ELDAN","ELDA","","","כן"
"688205dd7d4feb5981abf8a4","DANIEL_BIOTECH","DANI","","","כן"
"688205ddeb5f330f217c7851","DOVER","DOVE","","","לא"
"6882186f778a60955e0cc7cd","STERIOUS","STER","","","לא"
"6889ec060b8026c959d6361a","AYLEX","AYLE","","","לא"
"6889ec068ab98b91b3d05f66","POTERMAN","POTE","","","לא"
"6889ec061a5dadc1ad2c999d","MARGALIT","MARG","","","לא"
"6889ec060f5a01d3e258125b","SYSMEX","SYSM","","","לא"
"6889ec060f5a01d3e258125d","BEPEX","BEPE","","","לא"
"6889ec063a5f0ba17112cfeb","INTERNAL","INTE","","","לא"
